City,Country,Date,Time,Lat,Lon,Temp,Min,Max,Humidity,Cloudiness,Wind_speed
Gasa,BT,2019-10-10,00:16,27.91,89.73,30.65,30.65,30.65,93,88,6.88
Punta Arenas,CL,2019-10-09,15:16,-53.16,-70.91,48.61,46.4,50.0,53,75,51.67
Cape Town,ZA,2019-10-09,20:16,-33.93,18.42,55.4,53.01,57.99,62,20,12.75
Ilulissat,GL,2019-10-09,16:16,69.22,-51.1,32.0,32.0,32.0,62,20,4.7
Kapaa,US,2019-10-09,08:16,22.08,-159.32,75.67,73.0,78.8,88,1,5.82
Valverde del Camino,ES,2019-10-09,20:16,37.57,-6.75,81.88,73.99,84.99,52,0,5.99
Khatanga,RU,2019-10-10,01:16,71.98,102.47,14.45,14.45,14.45,94,83,8.15
Bluff,NZ,2019-10-10,07:16,-46.6,168.33,46.99,46.99,46.99,98,100,7.0
Richards Bay,ZA,2019-10-09,20:16,-28.77,32.06,70.97,70.97,70.97,90,67,19.71
Atuona,PF,2019-10-09,08:46,-9.8,-139.03,78.71,78.71,78.71,71,38,7.77
Elko,US,2019-10-09,11:16,40.83,-115.76,39.25,35.01,42.8,26,1,9.17
Ushuaia,AR,2019-10-09,15:16,-54.81,-68.31,45.82,44.6,46.4,52,75,6.93
Yellowknife,CA,2019-10-09,12:16,62.45,-114.38,32.34,30.2,34.0,74,20,8.05
Hasaki,JP,2019-10-10,03:16,35.73,140.83,55.0,51.8,57.2,87,0,8.05
Cooma,AU,2019-10-10,05:16,-36.24,149.13,32.0,32.0,32.0,97,90,1.04
New Norfolk,AU,2019-10-10,05:16,-42.78,147.06,46.02,45.0,48.2,81,90,4.7
Georgetown,SH,2019-10-09,18:16,-7.93,-14.42,72.59,72.59,72.59,77,100,19.64
Katsuura,JP,2019-10-10,03:16,33.93,134.5,57.2,57.2,57.2,82,20,9.17
Busselton,AU,2019-10-10,02:16,-33.64,115.35,53.02,52.0,54.0,68,8,2.17
Lavrentiya,RU,2019-10-10,06:16,65.58,-170.99,34.97,34.97,34.97,89,91,7.42
Geraldton,AU,2019-10-10,02:16,-28.77,114.6,66.2,66.2,66.2,88,75,5.82
Port Elizabeth,ZA,2019-10-09,20:16,-33.92,25.57,55.4,55.4,55.4,87,90,17.22
Buala,SB,2019-10-10,05:16,-8.15,159.59,77.99,77.99,77.99,83,89,3.84
Saldanha,ZA,2019-10-09,20:16,-33.01,17.94,57.2,57.2,57.2,50,0,16.11
Hobart,AU,2019-10-10,05:16,-42.88,147.33,46.02,45.0,48.2,81,90,4.7
Waitati,NZ,2019-10-10,07:16,-45.75,170.57,48.99,48.99,48.99,95,100,1.99
Lebu,CL,2019-10-09,15:16,-37.62,-73.65,68.45,68.45,68.45,46,92,7.84
Maragogi,BR,2019-10-09,15:16,-9.01,-35.22,77.99,77.99,77.99,77,40,16.38
Solnechnyy,RU,2019-10-10,04:16,50.72,136.64,37.67,37.67,37.67,83,21,3.78
Ponta do Sol,CV,2019-10-09,17:16,17.2,-25.09,86.0,86.0,86.0,58,20,27.51
Coihaique,CL,2019-10-09,15:16,-45.58,-72.07,54.23,51.8,57.2,57,40,9.17
Vardo,NO,2019-10-09,20:16,70.37,31.11,34.81,32.0,39.2,80,40,13.87
Surt,LY,2019-10-09,20:16,31.21,16.59,74.57,74.57,74.57,61,54,13.15
Saint-Augustin,CA,2019-10-09,14:16,45.63,-73.98,60.13,57.99,62.01,58,75,8.05
Teguise,ES,2019-10-09,19:16,29.06,-13.56,77.0,77.0,77.0,65,20,17.22
Muisne,EC,2019-10-09,13:16,0.61,-80.02,75.2,75.2,75.2,88,90,10.29
Butaritari,KI,2019-10-10,06:16,3.07,172.79,84.47,84.47,84.47,65,47,8.55
Kiunga,PG,2019-10-10,04:16,-6.12,141.3,73.31,73.31,73.31,96,100,2.69
Hilo,US,2019-10-09,08:16,19.71,-155.08,73.31,57.99,80.6,57,1,6.93
Sinnamary,GF,2019-10-09,15:16,5.38,-52.96,82.67,82.67,82.67,75,3,21.85
Mahanoro,MG,2019-10-09,21:16,-19.9,48.8,76.01,76.01,76.01,75,0,15.07
Albany,AU,2019-10-10,02:16,-35.02,117.88,57.2,57.2,57.2,100,90,4.7
Nikel,RU,2019-10-09,21:16,69.41,30.22,35.6,35.6,35.6,85,40,10.29
Isangel,VU,2019-10-10,05:16,-19.55,169.27,70.97,70.97,70.97,78,44,6.53
Souillac,MU,2019-10-09,22:16,-20.52,57.52,73.15,73.0,73.4,69,75,14.99
Dauphin,CA,2019-10-09,13:16,51.15,-100.04,33.8,33.8,33.8,95,90,12.75
Dano,BF,2019-10-09,18:16,11.14,-3.06,79.79,79.79,79.79,82,85,6.66
Thompson,CA,2019-10-09,13:16,55.74,-97.86,35.6,35.6,35.6,59,75,9.17
Bayan,KW,2019-10-09,21:16,29.3,48.05,93.74,93.2,95.0,28,0,5.82
Ambilobe,MG,2019-10-09,21:16,-13.19,49.05,78.17,78.17,78.17,57,59,15.2
Rikitea,PF,2019-10-09,09:16,-23.12,-134.97,68.81,68.81,68.81,67,95,6.09
Kaeo,NZ,2019-10-10,07:16,-35.1,173.78,60.49,60.01,61.0,100,100,15.44
Aykhal,RU,2019-10-10,03:16,65.95,111.51,19.4,19.4,19.4,79,90,11.18
Christchurch,NZ,2019-10-10,07:16,-43.53,172.64,57.63,55.99,59.0,51,100,5.82
Dikson,RU,2019-10-10,01:16,73.51,80.55,27.05,27.05,27.05,85,0,24.05
Bambous Virieux,MU,2019-10-09,22:16,-20.34,57.76,73.17,73.0,73.4,69,75,14.99
Bredasdorp,ZA,2019-10-09,20:16,-34.53,20.04,48.16,46.99,50.0,61,32,3.7
Nadym,RU,2019-10-09,23:16,65.53,72.51,39.65,39.65,39.65,89,100,21.72
Tuktoyaktuk,CA,2019-10-09,12:16,69.44,-133.03,32.0,32.0,32.0,67,90,4.7
Fairbanks,US,2019-10-09,10:16,64.84,-147.72,34.41,33.01,35.6,93,90,3.36
Sola,VU,2019-10-10,05:16,-13.88,167.55,79.79,79.79,79.79,82,99,18.56
Luderitz,NA,2019-10-09,20:16,-26.65,15.16,75.2,75.2,75.2,36,0,31.09
Hermanus,ZA,2019-10-09,20:16,-34.42,19.24,51.13,46.99,54.0,90,39,14.01
Rajampet,IN,2019-10-09,23:46,14.19,79.16,75.11,75.11,75.11,86,78,8.22
Pevek,RU,2019-10-10,06:16,69.7,170.27,29.57,29.57,29.57,82,100,13.94
Castro,CL,2019-10-09,15:16,-42.48,-73.76,55.4,55.4,55.4,82,90,12.75
Ancud,CL,2019-10-09,15:16,-41.87,-73.83,55.4,55.4,55.4,82,90,12.75
Malmesbury,ZA,2019-10-09,20:16,-33.46,18.72,55.53,53.01,57.99,62,20,12.75
Kenai,US,2019-10-09,10:16,60.55,-151.26,44.01,42.01,45.0,87,90,5.82
Kokopo,PG,2019-10-10,04:16,-4.34,152.27,82.13,82.13,82.13,77,0,9.74
Itarema,BR,2019-10-09,15:16,-2.92,-39.92,87.89,87.89,87.89,46,64,18.32
Gravdal,NO,2019-10-09,20:16,59.79,5.78,50.5,48.2,51.8,81,40,12.75
Iqaluit,CA,2019-10-09,14:16,63.75,-68.52,37.22,37.0,37.4,86,75,5.82
Hami,CN,2019-10-10,02:16,42.84,93.51,60.35,60.35,60.35,23,74,12.04
Black River,JM,2019-10-09,13:16,18.03,-77.85,93.2,93.2,93.2,67,20,14.99
Mount Gambier,AU,2019-10-10,04:46,-37.83,140.78,39.2,39.2,39.2,93,75,4.7
Mandalgovi,MN,2019-10-10,02:16,45.76,106.27,35.15,35.15,35.15,56,47,11.54
